loan_amnt,term,sub_grade,home_ownership,verification_status,purpose_group,delinq_2yrs_flag,inq_last_6mths_bin,total_acc_bin,emp_status_unverifiable,bin_annual_inc,bin_int_ratec,bin_dti,bin_revol_util
24000, 36 months,A4,RENT,Verified,Debt Management,0.0,0,16-20,0,80K-120K,<8%,5-10,<20%
7500, 36 months,C1,RENT,Verified,Debt Management,0.0,0-1,26-35,0,40K-80K,12-15%,30-35,80-100%
16000, 60 months,D3,RENT,Source Verified,Debt Management,1.0,0-1,20-26,0,40K-80K,15-21%,25-30,40-60%
11375, 60 months,G5,MORTGAGE,Source Verified,Home & Property,0.0,0,10-16,0,18K-40K,>24%,10-15,60-80%
8000, 36 months,B1,MORTGAGE,Not Verified,Home & Property,0.0,0,26-35,0,80K-120K,8-12%,10-15,80-100%
24000, 36 months,C3,RENT,Verified,Debt Management,0.0,0-1,26-35,0,>120K,12-15%,5-10,80-100%
4000, 36 months,B1,RENT,Verified,Debt Management,0.0,0,0-10,0,<18K,8-12%,10-15,80-100%
12550, 36 months,E2,OWN,Source Verified,Debt Management,0.0,0-1,20-26,0,18K-40K,15-21%,20-25,20-40%
8500, 36 months,D3,MORTGAGE,Not Verified,Debt Management,0.0,1-2,0-10,0,18K-40K,15-21%,15-20,60-80%
12000, 60 months,C3,RENT,Source Verified,Debt Management,0.0,0,26-35,0,40K-80K,15-21%,20-25,60-80%
15000, 36 months,B3,RENT,Not Verified,Debt Management,0.0,2+,20-26,0,40K-80K,8-12%,25-30,20-40%
3000, 36 months,E2,MORTGAGE,Source Verified,Personal Expenses,0.0,2+,20-26,1,40K-80K,15-21%,25-30,60-80%
10000, 36 months,A4,MORTGAGE,Not Verified,Debt Management,0.0,0-1,35+,0,40K-80K,<8%,10-15,40-60%
7000, 36 months,B5,RENT,Not Verified,Business & Education,0.0,1-2,10-16,0,<18K,12-15%,<5,<20%
15000, 36 months,D3,RENT,Source Verified,Debt Management,1.0,0,35+,0,80K-120K,15-21%,10-15,>100%
10400, 36 months,A4,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,80K-120K,<8%,15-20,40-60%
9800, 36 months,B3,MORTGAGE,Source Verified,Debt Management,0.0,2+,26-35,0,80K-120K,8-12%,30-35,<20%
12000, 36 months,B1,RENT,Source Verified,Debt Management,0.0,2+,16-20,0,18K-40K,8-12%,10-15,20-40%
14500, 36 months,D1,RENT,Not Verified,Debt Management,0.0,0,0-10,0,18K-40K,12-15%,15-20,40-60%
9000, 36 months,B2,RENT,Verified,Debt Management,0.0,1-2,35+,0,80K-120K,8-12%,10-15,20-40%
14000, 36 months,B2,RENT,Not Verified,Debt Management,0.0,0-1,35+,0,80K-120K,8-12%,25-30,60-80%
10000, 36 months,B3,RENT,Verified,Debt Management,0.0,0-1,16-20,0,40K-80K,8-12%,15-20,40-60%
